impact,status,family,tokens,slug,sample_url
5,GAP,A_geo_cat_intent,california try-on-haul near-me,california-try-on-haul-near-me,/california-try-on-haul-near-me.html
5,NEAR,A_geo_cat_intent,california twerk 2026,california-twerk-2026,/california-twerk-2026.html
5,GAP,A_geo_cat_intent,california twerk community,california-twerk-community,/california-twerk-community.html
5,NEAR,A_geo_cat_intent,california twerk compilation,california-twerk-compilation,/california-twerk-compilation.html
5,NEAR,A_geo_cat_intent,california twerk creators,california-twerk-creators,/california-twerk-creators.html
5,GAP,A_geo_cat_intent,california twerk full-video,california-twerk-full-video,/california-twerk-full-video.html
5,NEAR,A_geo_cat_intent,california twerk playlist,california-twerk-playlist,/california-twerk-playlist.html
5,GAP,A_geo_cat_intent,california workout near-me,california-workout-near-me,/california-workout-near-me.html
5,GAP,A_geo_cat_intent,chicago twerk classes,chicago-twerk-classes,/chicago-twerk-classes.html
5,NEAR,A_geo_cat_intent,chicago twerk dancers,chicago-twerk-dancers,/chicago-twerk-dancers.html
5,NEAR,A_geo_cat_intent,chicago twerk studios,chicago-twerk-studios,/chicago-twerk-studios.html
5,NEAR,A_geo_cat_intent,chicago twerk tutorial,chicago-twerk-tutorial,/chicago-twerk-tutorial.html
5,GAP,A_geo_cat_intent,dallas twerk classes,dallas-twerk-classes,/dallas-twerk-classes.html
5,NEAR,A_geo_cat_intent,dallas twerk dancers,dallas-twerk-dancers,/dallas-twerk-dancers.html
5,NEAR,A_geo_cat_intent,dallas twerk studios,dallas-twerk-studios,/dallas-twerk-studios.html
5,NEAR,A_geo_cat_intent,dallas twerk tutorial,dallas-twerk-tutorial,/dallas-twerk-tutorial.html
5,GAP,A_geo_cat_intent,england twerk classes,england-twerk-classes,/england-twerk-classes.html
5,NEAR,A_geo_cat_intent,england twerk dancers,england-twerk-dancers,/england-twerk-dancers.html
5,NEAR,A_geo_cat_intent,england twerk studios,england-twerk-studios,/england-twerk-studios.html
5,NEAR,A_geo_cat_intent,england twerk tutorial,england-twerk-tutorial,/england-twerk-tutorial.html
5,GAP,A_geo_cat_intent,houston twerk classes,houston-twerk-classes,/houston-twerk-classes.html
5,NEAR,A_geo_cat_intent,houston twerk dancers,houston-twerk-dancers,/houston-twerk-dancers.html
5,NEAR,A_geo_cat_intent,houston twerk studios,houston-twerk-studios,/houston-twerk-studios.html
5,NEAR,A_geo_cat_intent,houston twerk tutorial,houston-twerk-tutorial,/houston-twerk-tutorial.html
5,GAP,A_geo_cat_intent,japan twerk classes,japan-twerk-classes,/japan-twerk-classes.html
5,NEAR,A_geo_cat_intent,japan twerk dancers,japan-twerk-dancers,/japan-twerk-dancers.html
5,NEAR,A_geo_cat_intent,japan twerk studios,japan-twerk-studios,/japan-twerk-studios.html
5,NEAR,A_geo_cat_intent,japan twerk tutorial,japan-twerk-tutorial,/japan-twerk-tutorial.html
5,GAP,A_geo_cat_intent,jp twerk classes,jp-twerk-classes,/jp-twerk-classes.html
5,NEAR,A_geo_cat_intent,jp twerk dancers,jp-twerk-dancers,/jp-twerk-dancers.html
5,NEAR,A_geo_cat_intent,jp twerk studios,jp-twerk-studios,/jp-twerk-studios.html
5,NEAR,A_geo_cat_intent,jp twerk tutorial,jp-twerk-tutorial,/jp-twerk-tutorial.html
5,GAP,A_geo_cat_intent,kyoto twerk classes,kyoto-twerk-classes,/kyoto-twerk-classes.html
5,NEAR,A_geo_cat_intent,kyoto twerk dancers,kyoto-twerk-dancers,/kyoto-twerk-dancers.html
5,NEAR,A_geo_cat_intent,kyoto twerk studios,kyoto-twerk-studios,/kyoto-twerk-studios.html
5,NEAR,A_geo_cat_intent,kyoto twerk tutorial,kyoto-twerk-tutorial,/kyoto-twerk-tutorial.html
5,NEAR,A_geo_cat_intent,la twerk classes,la-twerk-classes,/la-twerk-classes.html
5,NEAR,A_geo_cat_intent,la twerk dancers,la-twerk-dancers,/la-twerk-dancers.html
5,NEAR,A_geo_cat_intent,la twerk studios,la-twerk-studios,/la-twerk-studios.html
5,NEAR,A_geo_cat_intent,la twerk tutorial,la-twerk-tutorial,/la-twerk-tutorial.html
5,GAP,A_geo_cat_intent,liverpool twerk classes,liverpool-twerk-classes,/liverpool-twerk-classes.html
5,NEAR,A_geo_cat_intent,liverpool twerk dancers,liverpool-twerk-dancers,/liverpool-twerk-dancers.html
5,NEAR,A_geo_cat_intent,liverpool twerk studios,liverpool-twerk-studios,/liverpool-twerk-studios.html
5,NEAR,A_geo_cat_intent,liverpool twerk tutorial,liverpool-twerk-tutorial,/liverpool-twerk-tutorial.html
5,GAP,A_geo_cat_intent,london twerk classes,london-twerk-classes,/london-twerk-classes.html
5,NEAR,A_geo_cat_intent,london twerk dancers,london-twerk-dancers,/london-twerk-dancers.html
5,NEAR,A_geo_cat_intent,london twerk studios,london-twerk-studios,/london-twerk-studios.html
5,NEAR,A_geo_cat_intent,london twerk tutorial,london-twerk-tutorial,/london-twerk-tutorial.html
